#,PAIR,AMOUNT,BASE PRICE,CLOSE PRICE,FUNDING COST,FUNDING TYPE,STATUS,UPDATED,CREATED,LEVERAGE
135214874,ETH/USD,1,93275.69576227,,0,1,CLOSED,22-02-18 07:41:25,14-02-18 22:39:13,
38909822,ETH/USD,247.38461799,-2317.52684471,,0,1,CLOSED,31-01-18 15:27:26,08-12-17 13:44:16,
38174337,ETH/USD,16.74808507,-4792.72641159,,0,1,CLOSED,07-12-17 15:36:15,18-11-17 21:23:18,
37836106,ETH/BTC,320.57029028,0.05319632,,0,1,CLOSED,16-11-17 22:07:24,09-11-17 08:37:58,
37433691,ETH/BTC,-172.4328339,0.17353451,,0,1,CLOSED,21-10-17 16:39:45,08-10-17 19:58:28,
37401368,ETH/BTC,123.1055954,0.07906358,,0,0,CLOSED,08-10-17 14:03:53,04-10-17 13:18:56,
37306686,ETH/USD,352.00073152,289.74308388,,0,1,CLOSED,04-10-17 13:15:48,25-09-17 12:10:50,
37093820,ETH/USD,-56.23136116,242.71107536,,0,1,CLOSED,23-09-17 16:54:31,10-09-17 08:05:52,
36684628,ETH/USD,17.22022806,-3899.16997392,,0,1,CLOSED,10-09-17 07:37:46,03-08-17 22:29:02,
36563209,ETH/USD,32.57362294,-141.08603246,,0,1,CLOSED,26-07-17 17:27:02,13-07-17 14:58:47,
36495693,ETH/USD,-350.09214854,540.73491102,,0,1,CLOSED,27-06-17 14:40:31,22-06-17 06:40:38,
36488596,ETH/USD,39.87943386,628.00172521,,0,1,CLOSED,19-06-17 19:57:08,19-06-17 17:09:55,
36473374,ETH/USD,267.98754031,188.41971299,,0,1,CLOSED,18-06-17 20:02:21,15-06-17 06:48:02,
36443234,ETH/USD,124.30751575,-44.45291271,,0,1,CLOSED,07-06-17 05:57:23,04-06-17 06:52:08,
36427487,ETH/USD,40.26283164,-793.97945931,,0,1,CLOSED,01-06-17 14:18:25,28-05-17 09:45:42,
36390161,ETH/USD,479.80849736,0.78345941,,0,1,CLOSED,22-05-17 17:08:57,12-05-17 10:57:42,
36390050,ETH/USD,0.12,91.55313864,,0,0,CLOSED,12-05-17 08:20:20,12-05-17 08:12:40,
36320044,ETH/USD,24.28405806,-2151.52860518,,0,1,CLOSED,11-05-17 16:36:24,20-03-17 06:32:47,
