#,DATE,CURRENCY,STATUS,AMOUNT,FEES,DESCRIPTION,TRANSACTION ID,NOTE
13184094,17-10-19 12:52:46,ETH,COMPLETED,-159.99865,-0.00135,0xD065F749EACF07d9d36D8Bf385Ee2077e4a2bAEd,0xf6cd07373fec05bab7753243139942ea9c1da7bd30d6417a45100e573e91beca,
13184057,17-10-19 12:01:46,ETH,CANCELED,-154.99865,-0.00135,0xD065F749EACF07d9d36D8Bf385Ee2077e4a2bAEd,,
13184066,17-10-19 11:57:44,ETH,CANCELED,-136.69182787,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,,
13105971,24-09-19 19:14:09,ETH,COMPLETED,250,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x69bce16ee3b3e51b07bd663d497c21ca3a95e24890fc66a51ef888fa14bc06f4,
13088204,19-09-19 15:49:18,ETH,COMPLETED,-297.98581232,-0.0016965,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xa8fc09914a1f83b1dee8bf936d9b6c84f4378e0c622838dcff98bdb330889154,
13081097,18-09-19 11:21:17,ETH,CANCELED,-297.98615882,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,,
13045848,07-09-19 10:25:20,ETH,COMPLETED,-266.99865,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x0fca48f4493dddb99d6df7ef7e8805568d04f763445bb5fa942455887b1adc3a,
12843284,18-07-19 09:17:24,BTC,COMPLETED,10,0,1FaD3fP6DNWxbafvyPkxnSauP9Xyw3eB39,6ac9821e5009e14831d8a3417996a6745a1c351c7363ac257e06e8feb1e1aa10,
12354387,30-04-19 15:26:36,ETH,COMPLETED,-839.64694778,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x9315e3a5b123ff68a5c760d8e54f95b97132ff034d940c6efb8c31cf4cbbfb58,
12343999,29-04-19 05:06:19,ETH,COMPLETED,-182.93066501,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x5c2e749af06b192c362d5517436f90ff9bf5fa1e74beff79aeb6e292134832ff,
12319822,26-04-19 07:06:29,ETH,COMPLETED,-188.65845002,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x14864b2e36a5f621312b5f0410b053080b691b6a159caf8766bd9da4cd8a4f3d,
12193373,04-04-19 00:43:34,ETH,COMPLETED,560,0,0x1e26613d10badb7cd05691f09e9b3614565a5939,0x46fb82040106441f9f999ca3880f50290bdb82c3b0e84a1876c5ddac5411aafa,
12127416,22-03-19 19:34:56,ZRX,COMPLETED,100000,0,0x1e26613d10badb7cd05691f09e9b3614565a5939,0x47b73918d72415d6de36d230e11e4b6b1ca3e32743867b2fc1811a2f77c800e3,
12041072,04-03-19 15:12:16,ETH,COMPLETED,-389.09084641,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x54ea2febe841c8546cde9d8616fcb3b4c19815ffc56317122a428f7f905ef2d1,
11905663,04-02-19 18:00:21,ZRX,COMPLETED,-99919.62264233,-0.53856,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x61609c9113b2a20fba68f89d1261b864cc393744c678ce4b9dd9b2d115b786d4,
11896506,02-02-19 09:16:07,ETH,COMPLETED,500,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0xbdfc42a67eafcf2b65bfd85865152c109072be62307401f0e50e3568f3fb36d2,
11883504,30-01-19 14:10:06,ETH,COMPLETED,-599.99865,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x11388268627cfc666e4c65a293f44fb79b28f7c9d09433592861402381a9edea,
11372944,08-11-18 01:16:46,ETH,COMPLETED,-199.9982,-0.0018,0x053F61455b7147C260Ecc591D733c5A9D2269Bd4,0x7b74a7289ce8d8df053b09c11f0447c7dfb47ab765f342be18af19483acb7b1b,
11320150,29-10-18 18:05:04,ZRX,COMPLETED,100000,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0xe554c775a9904f05e78960f753ae4d149061a71644cc5365a72d0dfb48ad4797,
11318479,29-10-18 12:56:51,ETH,COMPLETED,700,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x766f53aae876db32c9eeaeedd60be5c7d84e803267c28ea7ce4a71b0ab91b4e3,
11013400,16-09-18 19:55:48,ETH,COMPLETED,-999.9982,-0.0018,0x053F61455b7147C260Ecc591D733c5A9D2269Bd4,0x02a971b5564ff5e0b81cd88d3265a7589923e18adaf98e4d1c0a8fa7f7510d70,
