Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee,Fee Currency,Fee Total
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00367801,126.24058660,0.46431413,0.08%,208114150701,0.46394268,-126.24058660,BTC,0.00037145
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00367801,954.28847140,3.50988254,0.2%,208114150701,3.50286278,-954.28847140,BTC,0.00701976
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00369321,0.10846945,0.00040060,0.2%,208114150701,0.00039980,-0.10846945,BTC,0.00000080
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00369324,173.14374641,0.63946140,0.2%,208114150701,0.63818248,-173.14374641,BTC,0.00127892
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00369985,0.06540806,0.00024200,0.2%,208114150701,0.00024152,-0.06540806,BTC,0.00000048
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00370000,1.75675675,0.00649999,0.2%,208114150701,0.00648700,-1.75675675,BTC,0.00001299
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00370000,0.03500000,0.00012950,0.2%,208114150701,0.00012925,-0.03500000,BTC,0.00000025
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00370606,324.39999000,1.20224582,0.2%,208114150701,1.19984133,-324.39999000,BTC,0.00240449
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00370685,0.07639910,0.00028320,0.2%,208114150701,0.00028264,-0.07639910,BTC,0.00000056
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00371316,0.26931215,0.00099999,0.2%,208114150701,0.00099800,-0.26931215,BTC,0.00000199
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00371480,1.53371320,0.00569743,0.2%,208114150701,0.00568604,-1.53371320,BTC,0.00001139
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00372163,26.28753261,0.09783246,0.2%,208114150701,0.09763680,-26.28753261,BTC,0.00019566
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00372379,0.29688301,0.00110552,0.2%,208114150701,0.00110331,-0.29688301,BTC,0.00000221
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00372615,0.07052857,0.00026280,0.2%,208114150701,0.00026228,-0.07052857,BTC,0.00000052
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00374189,0.06173351,0.00023100,0.2%,208114150701,0.00023054,-0.06173351,BTC,0.00000046
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00374546,0.06471836,0.00024240,0.2%,208114150701,0.00024192,-0.06471836,BTC,0.00000048
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00375000,5.00000000,0.01875000,0.2%,208114150701,0.01871250,-5.00000000,BTC,0.00003750
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00375067,0.26661872,0.00099999,0.2%,208114150701,0.00099800,-0.26661872,BTC,0.00000199
